Campaign_ID,Channel,Campaign_Type,Region,Age_Group,Impressions,Clicks,Spend,Conversions,Revenue,ROI,CTR,CPC,Conversion_Rate,Cost_Per_Conversion
CAMP-0001,Email,Lead Generation,West,45-54,21934,1901,7962.06,403,158182.68,1886.71,8.67,4.19,21.2,19.76
CAMP-0002,SMS,Retargeting,East,45-54,6841,407,3087.73,69,23442.01,659.2,5.95,7.59,16.95,44.75
CAMP-0003,Google Ads,Lead Generation,West,35-44,22797,1618,60106.61,382,127683.11,112.43,7.1,37.15,23.61,157.35
CAMP-0004,Social Media,Retargeting,North,45-54,18049,2107,60958.06,254,34947.2,-42.67,11.67,28.93,12.06,239.99
CAMP-0005,Social Media,Brand Awareness,South,35-44,27555,2345,64364.67,329,64688.44,0.5,8.51,27.45,14.03,195.64
CAMP-0006,Email,Brand Awareness,West,25-34,23743,732,3118.21,98,14906.7,378.05,3.08,4.26,13.39,31.82
CAMP-0007,Google Ads,Lead Generation,East,55+,8454,735,30592.61,174,71713.05,134.41,8.69,41.62,23.67,175.82
CAMP-0008,SMS,Seasonal Sale,West,25-34,14772,1256,8600.09,95,5064.74,-41.11,8.5,6.85,7.56,90.53
CAMP-0009,Influencer,Retargeting,West,45-54,23842,2285,134846.94,169,19081.56,-85.85,9.58,59.01,7.4,797.91
CAMP-0010,Influencer,Lead Generation,North,18-24,33585,2076,127810.32,186,62425.92,-51.16,6.18,61.57,8.96,687.15
CAMP-0011,Google Ads,Retargeting,East,18-24,39848,533,23377.87,62,14497.95,-37.98,1.34,43.86,11.63,377.06
CAMP-0012,Social Media,Brand Awareness,West,55+,12080,198,4517.14,13,4522.21,0.11,1.64,22.81,6.57,347.47
CAMP-0013,Email,Seasonal Sale,East,35-44,49807,2724,15330.78,234,14091.58,-8.08,5.47,5.63,8.59,65.52
CAMP-0014,Influencer,Seasonal Sale,North,18-24,36256,2204,114322.63,152,18018.15,-84.24,6.08,51.87,6.9,752.12
CAMP-0015,Google Ads,Lead Generation,East,35-44,8727,376,17801.75,54,4829.89,-72.87,4.31,47.35,14.36,329.66
CAMP-0016,Social Media,Lead Generation,South,18-24,48113,5289,142787.51,357,173548.19,21.54,10.99,27.0,6.75,399.97
CAMP-0017,Social Media,Retargeting,West,25-34,39555,1580,33122.98,211,53825.96,62.5,3.99,20.96,13.35,156.98
CAMP-0018,Google Ads,Retargeting,East,25-34,15644,1153,45176.74,279,109182.13,141.68,7.37,39.18,24.2,161.92
CAMP-0019,Google Ads,Lead Generation,East,45-54,15779,1171,55853.47,107,25371.13,-54.58,7.42,47.7,9.14,522.0
CAMP-0020,Influencer,Brand Awareness,West,18-24,24952,1154,59394.74,43,13520.92,-77.24,4.62,51.47,3.73,1381.27
CAMP-0021,Influencer,Seasonal Sale,North,25-34,49489,2383,148179.64,75,36101.37,-75.64,4.82,62.18,3.15,1975.73
CAMP-0022,Google Ads,Lead Generation,South,35-44,39245,749,33525.13,127,59946.78,78.81,1.91,44.76,16.96,263.98
CAMP-0023,Email,Lead Generation,East,35-44,40476,1881,9482.77,241,14393.83,51.79,4.65,5.04,12.81,39.35
CAMP-0024,Social Media,Brand Awareness,South,55+,44859,1140,29116.01,58,20445.47,-29.78,2.54,25.54,5.09,502.0
CAMP-0025,Email,Retargeting,South,25-34,36649,3465,14606.64,703,107978.2,639.24,9.45,4.22,20.29,20.78
CAMP-0026,Influencer,Brand Awareness,North,18-24,27965,1420,96439.23,132,25438.05,-73.62,5.08,67.91,9.3,730.6
CAMP-0027,Social Media,Lead Generation,West,45-54,31282,1193,35027.0,68,4774.26,-86.37,3.81,29.36,5.7,515.1
CAMP-0028,Google Ads,Seasonal Sale,South,35-44,49622,5363,265334.13,1333,602583.97,127.1,10.81,49.47,24.86,199.05
CAMP-0029,Email,Lead Generation,East,35-44,1594,131,621.9,9,3474.5,458.69,8.22,4.75,6.87,69.1
CAMP-0030,Influencer,Brand Awareness,South,25-34,46872,1711,87168.93,162,19274.43,-77.89,3.65,50.95,9.47,538.08
CAMP-0031,Influencer,Retargeting,North,25-34,36136,1142,63321.35,103,50194.15,-20.73,3.16,55.45,9.02,614.77
CAMP-0032,SMS,Lead Generation,South,35-44,7622,87,620.74,5,1774.73,185.91,1.14,7.13,5.75,124.15
CAMP-0033,SMS,Retargeting,North,25-34,46411,3430,24144.74,530,197124.6,716.43,7.39,7.04,15.45,45.56
CAMP-0034,Influencer,Seasonal Sale,North,45-54,6987,164,11522.89,10,1854.27,-83.91,2.35,70.26,6.1,1152.29
CAMP-0035,Email,Retargeting,South,35-44,16030,665,3890.0,42,12593.24,223.73,4.15,5.85,6.32,92.62
CAMP-0036,SMS,Seasonal Sale,North,45-54,5741,146,1130.21,25,7955.48,603.89,2.54,7.74,17.12,45.21
CAMP-0037,Email,Seasonal Sale,West,45-54,21887,2108,8507.2,162,68565.35,705.97,9.63,4.04,7.69,52.51
CAMP-0038,Google Ads,Lead Generation,South,45-54,12015,821,38511.7,200,64279.64,66.91,6.83,46.91,24.36,192.56
CAMP-0039,Social Media,Lead Generation,South,18-24,46360,3788,108620.55,330,53304.18,-50.93,8.17,28.67,8.71,329.15
CAMP-0040,Google Ads,Seasonal Sale,South,25-34,37427,3736,141575.74,328,104138.41,-26.44,9.98,37.9,8.78,431.63
CAMP-0041,Social Media,Seasonal Sale,North,18-24,16276,420,12268.08,24,4274.98,-65.15,2.58,29.21,5.71,511.17
CAMP-0042,Social Media,Lead Generation,East,18-24,6216,76,1562.1,4,296.09,-81.05,1.22,20.55,5.26,390.52
CAMP-0043,Google Ads,Retargeting,East,35-44,40253,1810,81597.46,444,192256.1,135.62,4.5,45.08,24.53,183.78
CAMP-0044,Social Media,Lead Generation,East,18-24,9484,341,7670.41,33,7831.5,2.1,3.6,22.49,9.68,232.44
CAMP-0045,Social Media,Lead Generation,North,18-24,46327,981,27796.23,44,20511.87,-26.21,2.12,28.33,4.49,631.73
CAMP-0046,Google Ads,Seasonal Sale,East,18-24,42256,4618,247673.83,1068,428016.91,72.81,10.93,53.63,23.13,231.9
CAMP-0047,Influencer,Seasonal Sale,East,45-54,37082,2557,154292.83,247,63790.15,-58.66,6.9,60.34,9.66,624.67
CAMP-0048,Email,Retargeting,West,25-34,32158,1264,5409.33,170,40392.04,646.71,3.93,4.28,13.45,31.82
CAMP-0049,Influencer,Lead Generation,North,25-34,25500,1173,66986.67,97,17808.66,-73.41,4.6,57.11,8.27,690.58
CAMP-0050,Social Media,Retargeting,West,55+,45859,2884,67149.94,275,118759.36,76.86,6.29,23.28,9.54,244.18
CAMP-0051,Google Ads,Seasonal Sale,East,25-34,27875,2219,91393.51,484,68283.72,-25.29,7.96,41.19,21.81,188.83
CAMP-0052,Google Ads,Retargeting,East,45-54,43105,1057,49741.19,98,36904.06,-25.81,2.45,47.06,9.27,507.56
CAMP-0053,Google Ads,Seasonal Sale,North,35-44,36309,4192,211343.52,799,321342.5,52.05,11.55,50.42,19.06,264.51
CAMP-0054,Email,Seasonal Sale,West,45-54,47328,1792,9282.83,134,43854.79,372.43,3.79,5.18,7.48,69.27
CAMP-0055,Email,Retargeting,North,18-24,888,54,272.44,9,3686.94,1253.3,6.08,5.05,16.67,30.27
CAMP-0056,Google Ads,Brand Awareness,East,35-44,30179,3393,129460.61,331,29614.26,-77.12,11.24,38.16,9.76,391.12
CAMP-0057,Google Ads,Lead Generation,East,45-54,46120,3866,162393.18,967,380165.86,134.1,8.38,42.01,25.01,167.94
